file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,45,css,23d4dd12,Sophie-WZR,2025-01-16,17:49:45,-08:00,2025-01-16T17:49:45-08:00,0,13
style.css,46,css,23d4dd12,Sophie-WZR,2025-01-16,17:49:45,-08:00,2025-01-16T17:49:45-08:00,0,8
style.css,47,css,944da4be,Sophie-WZR,2025-01-16,18:15:44,-08:00,2025-01-16T18:15:44-08:00,0,11
style.css,48,css,a01fabcb,Sophie-WZR,2025-01-16,17:59:16,-08:00,2025-01-16T17:59:16-08:00,0,0
style.css,49,css,a01fabcb,Sophie-WZR,2025-01-16,17:59:16,-08:00,2025-01-16T17:59:16-08:00,0,0
style.css,50,css,a01fabcb,Sophie-WZR,2025-01-16,17:59:16,-08:00,2025-01-16T17:59:16-08:00,0,12
style.css,51,css,a01fabcb,Sophie-WZR,2025-01-16,17:59:16,-08:00,2025-01-16T17:59:16-08:00,0,13
style.css,52,css,a01fabcb,Sophie-WZR,2025-01-16,17:59:16,-08:00,2025-01-16T17:59:16-08:00,0,30
style.css,53,css,a01fabcb,Sophie-WZR,2025-01-16,17:59:16,-08:00,2025-01-16T17:59:16-08:00,0,19
style.css,54,css,a01fabcb,Sophie-WZR,2025-01-16,17:59:16,-08:00,2025-01-16T17:59:16-08:00,0,8
style.css,55,css,a01fabcb,Sophie-WZR,2025-01-16,17:59:16,-08:00,2025-01-16T17:59:16-08:00,0,0
style.css,56,css,a01fabcb,Sophie-WZR,2025-01-16,17:59:16,-08:00,2025-01-16T17:59:16-08:00,0,0
style.css,57,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,7
style.css,58,css,a01fabcb,Sophie-WZR,2025-01-16,17:59:16,-08:00,2025-01-16T17:59:16-08:00,0,19
style.css,59,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,0
style.css,60,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,0
style.css,61,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,10
style.css,62,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,13
style.css,63,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,59
style.css,64,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,0
style.css,65,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,0
style.css,66,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,8
style.css,67,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,13
style.css,68,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,27
style.css,69,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,16
style.css,70,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,8
style.css,71,css,2de43349,Sophie-WZR,2025-01-16,18:33:11,-08:00,2025-01-16T18:33:11-08:00,0,12
style.css,72,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,0
style.css,73,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,0
style.css,74,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,3
style.css,75,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,15
style.css,76,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,0
style.css,77,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,0
style.css,78,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,23
style.css,79,css,d228b79f,Sophie-WZR,2025-01-16,18:08:27,-08:00,2025-01-16T18:08:27-08:00,0,16
style.css,80,css,944da4be,Sophie-WZR,2025-01-16,18:15:44,-08:00,2025-01-16T18:15:44-08:00,0,18
style.css,81,css,5e5d8cb0,Sophie-WZR,2025-01-23,18:13:17,-08:00,2025-01-23T18:13:17-08:00,0,0
style.css,82,css,5e5d8cb0,Sophie-WZR,2025-01-23,18:13:17,-08:00,2025-01-23T18:13:17-08:00,0,0
style.css,83,css,49e61af8,Sophie-WZR,2025-02-08,16:27:11,-08:00,2025-02-08T16:27:11-08:00,0,14
style.css,84,css,5e5d8cb0,Sophie-WZR,2025-01-23,18:13:17,-08:00,2025-01-23T18:13:17-08:00,0,18
style.css,85,css,5e5d8cb0,Sophie-WZR,2025-01-23,18:13:17,-08:00,2025-01-23T18:13:17-08:00,0,9
style.css,86,css,5e5d8cb0,Sophie-WZR,2025-01-23,18:13:17,-08:00,2025-01-23T18:13:17-08:00,0,11
style.css,87,css,5e5d8cb0,Sophie-WZR,2025-01-23,18:13:17,-08:00,2025-01-23T18:13:17-08:00,0,14
style.css,88,css,5e5d8cb0,Sophie-WZR,2025-01-23,18:13:17,-08:00,2025-01-23T18:13:17-08:00,0,20
